CT Hotel ID,Market Name
1323340,Chains
1323344,Chains
1323350,Chains
1323354,Chains
1323360,Chains
1323366,Chains
1323374,Chains
1323380,Chains
1323384,Chains
1323390,Chains
1323404,Chains
1323410,Chains
1323422,Chains
1323426,Chains
1126582,Chains
1326126,Chains
1326132,Chains
1329562,Chains
1329568,Chains
1329566,Chains
1329672,Chains
1344612,Chains
1344614,Chains
1344616,Chains
1344656,Chains
1344650,Chains
1344626,Chains
870298,Chains
1344620,Chains
1344624,Chains
1329674,Chains
1326136,Chains
870296,Chains
1329564,Chains
962766,Chains
1325420,Chains
1325426,Chains
1325438,Chains
2047874,Chains
2047876,Chains
956196,Chains
40188,Chains
871028,Chains
723425,Chains
2048140,Chains
707622,Chains
2360134,Chains
2360236,Chains
2360320,Chains
2360338,Chains
2360364,Chains
2360388,Chains
2360404,Chains
2360438,Chains
2360468,Chains
2360548,Chains
2360564,Chains
2360590,Chains
2360618,Chains
2360686,Chains
2356854,Chains
2415772,Chains
1344622,Chains
2423450,Chains
2427898,Chains
2427930,Chains
2427940,Chains
959488,Chains
961306,Chains
1126620,Chains
1126606,Chains
1325100,Chains
1326182,Chains
1328928,Chains
1328940,Chains
1328982,Chains
1331360,Chains
1347080,Chains
1347082,Chains
1347644,Chains
1347648,Chains
1347654,Chains
1328930,Chains
1347404,Chains
2043430,Chains
2049692,Chains
40195,Chains
1126616,Chains
1347076,Chains
1347370,Chains
1347646,Chains
1347662,Chains
2047640,Chains
2047870,Chains
2047872,Chains
2047596,Chains
2047584,Chains
1362044,Chains
40194,Chains
1331676,Chains
2359994,Chains
2360182,Chains
2360198,Chains
2360284,Chains
2360292,Chains
2360294,Chains
2360302,Chains
2360312,Chains
2360328,Chains
2360348,Chains
2360384,Chains
2360386,Chains
2360396,Chains
2360402,Chains
2360412,Chains
2360416,Chains
2360422,Chains
2360426,Chains
2360434,Chains
2360456,Chains
2360494,Chains
2360512,Chains
2360532,Chains
2360546,Chains
2360566,Chains
2360576,Chains
2360588,Chains
2360604,Chains
2360632,Chains
2360660,Chains
2360668,Chains
2360680,Chains
2360692,Chains
2363344,Chains
2363346,Chains
2363348,Chains
2363354,Chains
2363366,Chains
2363376,Chains
2363382,Chains
2363394,Chains
2363406,Chains
2363410,Chains
2363416,Chains
2363420,Chains
2363424,Chains
2363450,Chains
2365956,Chains
2424172,Chains
2428096,Chains
713725,Chains
1324884,Chains
1323614,Chains
1323618,Chains
1323610,Chains
1323620,Chains
1323624,Chains
1323628,Chains
1323630,Chains
1323634,Chains
