Booking_hotel_id,Booking_hotel_url,cleartrip_hotel_id,TA_hotel_id,cthotel_name,TA_url,Booking_hotel_name,TA_city_name
2107213,https://www.booking.com/hotel/in/lake-39-n-hills-resorts.en-gb.html,722561,6555138,Lake N Hills,https://www.tripadvisor.in/Hotel_Review-d6555138.html,Lake 'n Hills Resorts,Munnar
2107224,https://www.booking.com/hotel/in/paradise-ayurveda-panchakarma-and-yoga-retreat-center.en-gb.html,876870,6925729,Beach Paradise Ayurveda Beach Resort,https://www.tripadvisor.in/Hotel_Review-d6925729.html,Paradise Ayurveda Panchakarma And Yoga Retreat Center,Alleppey
2107373,https://www.booking.com/hotel/in/merit-surat.en-gb.html,378703,3178964,Hotel Merit,https://www.tripadvisor.in/Hotel_Review-d3178964.html,Hotel Merit,Surat
2107430,https://www.booking.com/hotel/in/rb-residency.en-gb.html,729847,3948004,Hotel R B Residency,https://www.tripadvisor.in/Hotel_Review-d3948004.html,Hotel RB Residency,Surat
2109037,https://www.booking.com/hotel/in/glacier-resort.en-gb.html,40921,543734,Glacier Resort,https://www.tripadvisor.in/Hotel_Review-d543734.html,Hotel Glacier Resort,Manali
2113865,https://www.booking.com/hotel/in/savera-palace.en-gb.html,707555,729573,Hotel Savera Palace,https://www.tripadvisor.in/Hotel_Review-d729573.html,Hotel Savera Palace,Mount Abu
2117343,https://www.booking.com/hotel/in/jungle-paradise.en-gb.html,379018,1861427,Corbett Jungle Paradise Retreat,https://www.tripadvisor.in/Hotel_Review-d1861427.html,Jungle Paradise,Corbett
2118367,https://www.booking.com/hotel/in/delight-hotels-royal-lachen.en-gb.html,1136866,8573282,Delight Hotels Royal Lachen,https://www.tripadvisor.in/Hotel_Review-d8573282.html,Delight Hotels Royal Lachen,Lachen
2118428,https://www.booking.com/hotel/in/saiva-hill-resort.en-gb.html,1362008,6373513,Saiva Hill Resort,https://www.tripadvisor.in/Hotel_Review-d6373513.html,Saiva Hill Resort,Mussoorie
2118562,https://www.booking.com/hotel/in/delight-hotels-the-touristo.en-gb.html,1136850,1439416,Delight Hotels The Touristo,https://www.tripadvisor.in/Hotel_Review-d1439416.html,Delight Hotels The Touristo,Pelling
